"","x"
"1",0.86345529230391
"2",0.667094217845984
"3",0.570023574648791
"4",0.568186662931875
"5",0.813997417108092
"6",0.958653330154572
"7",0.728398653838777
"8",0.418297505584729
"9",0.659486177401717
"10",0.546278803400699
"11",0.764837756572965
"12",0.726633864130635
"13",0.403850711536643
"14",0.383433534018589
"15",0.53830277470179
"16",0.563941001686078
"17",0.669088147980512
"18",0.674027773194518
"19",0.784949573338956
"20",0.612433025257348
"21",1.02176108845407
"22",1.1750168850379
"23",0.687752743219791
"24",0.714777778684451
"25",0.956296942286356
"26",0.660046572406784
"27",0.934348026323532
"28",1.85168597420899
"29",0.777429176063181
"30",0.449858492196514
"31",0.385167472776782
"32",0.721790072808841
"33",0.616091072159897
"34",1.04326077839357
"35",0.326400916103518
"36",0.46083767333069
"37",0.935881154022591
"38",0.52897620198799
"39",0.405586470939159
"40",0.638448583970361
"41",0.507764263142837
"42",0.812329156803591
"43",0.528980443073826
"44",0.618598898409902
"45",1.09237028130641
"46",0.638664935560709
"47",0.679882470165838
"48",0.413016379192844
"49",0.531288966719336
"50",0.887978348499384
"51",0.855423056248826
"52",0.673225782050877
"53",1.1627725474483
"54",0.550305307604403
"55",0.626385008349222
"56",0.756149181369681
"57",0.682676011637455
"58",0.899685735181741
"59",0.522778291674932
"60",0.928054461461046
"61",0.510012700908586
"62",0.762016843195321
"63",1.15718246703764
"64",0.382060731594186
"65",0.905538313971469
"66",0.895281362991131
"67",0.508642551974692
"68",0.710751239185005
"69",0.635059849429576
"70",0.519977842627481
"71",0.773684755907953
"72",0.591843867651719
"73",0.470117130954686
"74",0.892533816910855
"75",0.95584800345977
"76",0.630487570383037
"77",0.612146040617245
"78",0.4777902207512
"79",0.509057547514284
"80",0.89864137934639
"81",0.661317666548518
"82",0.493464110584619
"83",0.855443318937225
"84",0.785379393156148
"85",1.09398264565851
"86",0.718957515948091
"87",0.880758289273106
"88",0.862724195969705
"89",0.580415780404645
"90",1.03433543599097
"91",0.517152770176163
"92",0.428306133594182
"93",0.649580286760423
"94",0.573378349119557
"95",1.59479323979246
"96",0.910664039945837
"97",0.892311601376839
"98",0.865096180018585
"99",0.928782749864188
"100",0.814605832989875
"101",0.997684495880701
"102",0.59519021041034
"103",0.69865872584103
"104",0.560788370353773
"105",0.479384103502916
"106",0.488456327501609
"107",0.503374887322564
"108",0.554140068469049
"109",1.15013649276314
"110",0.378813700739002
"111",0.573721302614499
"112",0.767093521064904
"113",0.608636247403381
"114",0.795675598690513
"115",0.745626573919286
"116",1.19176292893203
"117",0.543419367374894
"118",0.687879363022512
"119",0.680282493125634
"120",0.479504485302216
"121",0.836143412556738
"122",0.723403129020445
"123",0.378879016622057
"124",0.825669272758271
"125",0.729837886882488
"126",0.664800849364285
"127",0.787217085650232
"128",0.630556659641293
"129",0.662699026500966
"130",1.30398963590229
"131",0.805427617628253
"132",0.509650503133383
"133",0.573220883275957
"134",1.09447160755023
"135",0.659607262666265
"136",0.565677571511706
"137",1.05078832578966
"138",0.74742608300689
"139",0.569145695556964
"140",0.395682704587156
"141",0.495200399118288
"142",0.573142058208973
"143",0.722698317523332
"144",0.896844129931597
"145",0.418781012758992
"146",0.75810793257241
"147",0.68252771706843
"148",0.529061722744199
"149",0.802090825781535
"150",0.680956874952567
"151",0.409882823710221
"152",0.978462588501628
"153",0.503795798733965
"154",0.967071627993968
"155",0.385264172940273
"156",0.327129156032834
"157",0.416807569262952
"158",0.638673226978111
"159",0.725994516064079
"160",0.973257359794842
"161",0.582170805266897
"162",0.710914489256608
"163",1.02872916153074
"164",0.880834310131943
"165",0.567548662353674
"166",0.555727803970228
"167",0.69321625727884
"168",1.01656668460613
"169",0.913446268414284
"170",0.723954731753368
"171",0.552368610165959
"172",0.73240216848397
"173",0.533426055144481
"174",0.44819324242457
"175",0.808822517234942
"176",0.551310486060678
"177",0.90203985814683
"178",0.827652757380135
"179",0.565139398398601
"180",0.566070076212974
"181",0.572646196629918
"182",1.01119018619031
